Time,Accel,Brake,Car_Speed,Car_Status,Bike_Status,Bike_Distance
8.1055,0.0000,0.0000,0.0000,False,False,0.0000
8.1238,0.0000,0.0000,0.0000,False,False,0.0000
8.1420,0.0000,0.0000,0.0000,False,False,0.0000
8.1634,0.0000,0.0000,0.0000,False,False,0.0000
8.1816,0.0000,0.0000,0.0000,False,False,0.0000
8.1997,0.0000,0.0000,0.0000,False,False,0.0000
8.2170,0.0000,0.0000,0.0000,False,False,0.0000
8.2348,0.0000,0.0000,0.0000,False,False,0.0000
8.2530,0.0000,0.0000,0.0000,False,False,0.0000
8.2718,0.0000,0.0000,0.0000,False,False,0.0000
8.2906,0.0000,0.0000,0.0000,False,False,0.0000
8.3092,0.0000,0.0000,0.0000,False,False,0.0000
8.3281,0.0000,0.0000,0.0000,False,False,0.0000
8.3464,0.0000,0.0000,0.0000,False,False,0.0000
8.3645,0.0000,0.0000,0.0000,False,False,0.0000
8.3830,0.0000,0.0000,0.0000,False,False,0.0000
8.4016,0.0000,0.0000,0.0000,False,False,0.0000
8.4204,0.0000,0.0000,0.0000,False,False,0.0000
8.4389,0.0000,0.0000,0.0000,False,False,0.0000
8.4572,0.0000,0.0000,0.0000,False,False,0.0000
8.4778,0.0000,0.0000,0.0000,False,False,0.0000
8.4991,0.0000,0.0000,0.0000,False,False,0.0000
8.5212,0.0000,0.0000,0.0000,False,False,0.0000
8.5432,0.0000,0.0000,0.0000,False,False,0.0000
8.5651,0.0000,0.0000,0.0000,False,False,0.0000
8.5874,0.0000,0.0000,0.0000,False,False,0.0000
8.6101,0.0000,0.0000,0.0000,False,False,0.0000
8.6317,0.0000,0.0000,0.0000,False,False,0.0000
8.6541,0.0000,0.0000,0.0000,False,False,0.0000
8.6764,0.0000,0.0000,0.0000,False,False,0.0000
8.7006,0.0000,0.0000,0.0000,False,False,0.0000
